,well_id,date,water_produced,oil_produced,gas_produced,latitude,longitude,type,status,wells
30651,31037196820000,2006,0.0,0.0,116000000.0,42.99836053700005,-78.43495817099995,Gas Development,Active,1
11244,31013180000000,1994,68.0,,1039000000.0,42.8744233810005,-78.85339824199963,Gas Development,Active,1
105303,31013224150000,2013,100.0,0.0,31000000.0,42.02083023700004,-79.62887619399999,Gas Development,Active,1
78979,31011115440000,2011,0.0,0.0,2378000000.0,42.922942928000055,-76.67442556599997,Gas Development,Active,1
55492,31037175510000,1995,0.0,,372000000.0,43.0659900280005,-78.27070835599966,Gas Development,Active,1
12833,31037161550000,1988,0.0,,3122000000.0,42.90205099500048,-78.35201911399963,Gas Development,Active,1
114624,31009243060000,2014,146.0,200.0,1000000.0,42.023289,-78.628438,Oil Development,Active,1
70072,31037194290000,1991,0.0,,1197000000.0,43.01478113200045,-78.34690983699966,Gas Development,Active,1
72363,31003679550000,2010,0.0,0.0,0.0,42.06668364500007,-78.16764889199999,Oil Development,Not Reported on AWR,1
40602,31029113480000,1990,8.0,,2216000000.0,42.59375254100047,-79.01745785999964,Gas Development,Active,1
126040,31009209900000,2015,5.0,15.0,0.0,42.023289,-78.628438,Oil Development,Active,1
22632,31009247130000,2007,0.0,679.0,1230000000.0,42.09225112200005,-78.49724749699999,Oil Development,Active,1
79707,31029251150000,2011,0.0,0.0,2500000000.0,42.49661381300007,-78.92307868899996,Gas Development,Active,1
110296,31009251540000,2014,7.0,140.0,1000000.0,42.077495,-78.429849,Oil Development,Active,1
80252,31003217590000,2011,3.0,8.0,90000000.0,42.12451389000006,-78.15604994399996,Oil Development,Active,1
43140,31009184870000,1990,0.0,,397000000.0,42.356452499000454,-78.83082631199966,Gas Development,Active,1
41604,31037175920000,2007,0.0,0.0,1584000000.0,42.90205237400005,-78.35201836199997,Gas Development,Active,1
38993,31029186340000,1986,90.0,,2735000000.0,42.69834088200048,-78.94540989999967,Gas Development,Active,1
52755,31009095360000,1992,0.0,,0.0,42.27552136300045,-78.67174645199964,Gas Development,Unknown,1
49023,31009172100000,1997,25.0,,1420000000.0,42.41671428500047,-78.97703918699966,Gas Wildcat,Active,1
32779,31003176580000,2005,370.0,118.0,0.0,42.088023219000036,-77.78023782399998,Oil Development,Active,1
17235,31009211310000,2002,0.0,0.0,2728000000.0,42.41671044700007,-78.97703668999998,Gas Development,Active,1
66794,31013124900000,1995,0.0,,1085000000.0,42.29336363900046,-79.09200686499963,Gas Development,Active,1
37304,31051196330000,2007,0.0,0.0,1057000000.0,42.77199211900006,-77.89395996899998,Gas Development,Active,1
