symbol,date,open,high,low,close,volume
AAPL,2020-01-02,296.24,300.6,295.19,300.35,33481895
AAPL,2019-12-31,289.93,293.68,289.52,293.65,25247625
AAPL,2019-12-30,289.46,292.69,285.22,291.52,36059614
AAPL,2019-12-27,291.12,293.97,288.12,289.8,36592936
AAPL,2019-12-26,284.82,289.98,284.7,289.91,23334004
AAPL,2019-12-24,284.69,284.89,282.9197,284.27,12119714
AAPL,2019-12-23,280.53,284.25,280.3735,284.0,24677883
AAPL,2019-12-20,282.23,282.65,278.56,279.44,69032743
AAPL,2019-12-19,279.5,281.18,278.95,280.02,24626947
AAPL,2019-12-18,279.8,281.9,279.12,279.74,29024687
AAPL,2019-12-17,279.57,281.77,278.8,280.41,28575798
AAPL,2019-12-16,277.0,280.79,276.98,279.86,32081105
AAPL,2019-12-13,271.46,275.3,270.93,275.15,33432806
AAPL,2019-12-12,267.78,272.5599,267.32099999999997,271.46,34437042
AAPL,2019-12-11,268.81,271.1,268.5,270.77,19723391
AAPL,2019-12-10,268.6,270.07,265.86,268.48,22632383
AAPL,2019-12-09,270.0,270.8,264.91,266.92,32182645
AAPL,2019-12-06,267.48,271.0,267.3,270.71,26547493
AAPL,2019-12-05,263.79,265.89,262.73,265.58,18661343
AAPL,2019-12-04,261.07,263.31,260.68,261.74,16810388
AAPL,2019-12-03,258.31,259.53,256.29,259.45,29377268
AAPL,2019-12-02,267.27,268.25,263.45,264.16,23693550
AAPL,2019-11-29,266.6,268.0,265.9,267.25,11654363
AAPL,2019-11-27,265.58,267.98,265.31,267.84,16386122
AAPL,2019-11-26,266.94,267.16,262.5,264.29,26334882
AAPL,2019-11-25,262.71,266.44,262.52,266.37,21029517
AAPL,2019-11-22,262.59,263.18,260.84,261.78,16331263
AAPL,2019-11-21,263.69,264.005,261.18,262.01,30348778
AAPL,2019-11-20,265.54,266.08299999999997,260.4,263.19,26609919
AAPL,2019-11-19,267.9,268.0,265.3926,266.29,19069597
AAPL,2019-11-18,265.8,267.43,264.23,267.1,21700897
AAPL,2019-11-15,263.68,265.78,263.01,265.76,25093666
AAPL,2019-11-14,263.75,264.88,262.1,262.64,22395556
AAPL,2019-11-13,261.13,264.78,261.07,264.47,25817593
AAPL,2019-11-12,261.55,262.79,260.92,261.96,21847226
AAPL,2019-11-11,258.3,262.47,258.28,262.2,20507459
AAPL,2019-11-08,258.69,260.44,256.85,260.14,17520495
AAPL,2019-11-07,258.74,260.35,258.11,259.43,23735083
AAPL,2019-11-06,256.77,257.49,255.365,257.24,18966124
AAPL,2019-11-05,257.05,258.19,256.32,257.13,19974427
AAPL,2019-11-04,257.33,257.845,255.38,257.5,25817952
AAPL,2019-11-01,249.54,255.93,249.16,255.82,37781334
AAPL,2019-10-31,247.24,249.17,237.26,248.76,34790520
AAPL,2019-10-30,244.76,245.3,241.21,243.26,31130522
AAPL,2019-10-29,248.97,249.75,242.57,243.29,35709867
AAPL,2019-10-28,247.42,249.25,246.72,249.05,23655368
AAPL,2019-10-25,243.16,246.73,242.88,246.58,18369296
AAPL,2019-10-24,244.51,244.8,241.805,243.58,17916255
AAPL,2019-10-23,242.1,243.24,241.22,243.18,19932545
AAPL,2019-10-22,241.16,242.2,239.6218,239.96,22684001
AAPL,2019-10-21,237.52,240.99,237.32,240.51,21811567
AAPL,2019-10-18,234.59,237.58,234.29,236.41,24248023
AAPL,2019-10-17,235.09,236.15,233.52,235.28,17272897
AAPL,2019-10-16,233.37,235.24,233.2,234.37,19286694
AAPL,2019-10-15,236.39,237.65,234.88,235.32,23040483
AAPL,2019-10-14,234.9,238.1342,234.6701,235.87,24413484
AAPL,2019-10-11,232.95,237.64,232.3075,236.21,41990210
AAPL,2019-10-10,227.93,230.44,227.3,230.09,28962984
